Date,Category,Item,Sales
04-01-2023,Sandwiches,Grilled Veg Sandwich,47
04-01-2023,Sandwiches,Cucumber Sandwich,29
04-01-2023,Wraps,Veggie Wrap,47
04-01-2023,Wraps,Paneer Wrap,8
04-01-2023,Wraps,Aloo Wrap,35
04-01-2023,Wraps,Hummus Wrap,45
04-01-2023,Pastas,Veg Alfredo Pasta,26
04-01-2023,Pastas,Veg Arrabbiata Pasta,46
04-01-2023,Pastas,Pesto Veg Pasta,14
04-01-2023,Pastas,Veg Mac and Cheese,22
04-01-2023,Salads,Greek Salad,39
04-01-2023,Salads,Caesar Salad,5
04-01-2023,Salads,Garden Salad,50
04-01-2023,Salads,Pasta Salad,46
04-01-2023,Fries,Classic Fries,41
04-01-2023,Fries,Cheese Fries,40
04-01-2023,Fries,Masala Fries,20
04-01-2023,Fries,Peri Peri Fries,9
04-01-2023,Beverages,Cold Coffee,16
04-01-2023,Beverages,Lemonade,42
04-01-2023,Beverages,Mango Smoothie,14
04-01-2023,Beverages,Green Tea,28
04-01-2023,Desserts,Brownie,50
04-01-2023,Desserts,Ice Cream Sundae,34
04-01-2023,Desserts,Fruit Salad,8
04-01-2023,Desserts,Chocolate Cake,34
05-01-2023,Veg Burgers,Classic Veg Burger,9
05-01-2023,Veg Burgers,Cheese Veg Burger,38
05-01-2023,Veg Burgers,Spicy Veg Burger,6
05-01-2023,Veg Burgers,Aloo Tikki Burger,40
05-01-2023,Veg Pizzas,Margherita Pizza,20
05-01-2023,Veg Pizzas,Veggie Delight Pizza,14
05-01-2023,Veg Pizzas,Paneer Pizza,7
05-01-2023,Veg Pizzas,Farmhouse Pizza,6
05-01-2023,Sandwiches,Veg Club Sandwich,24
05-01-2023,Sandwiches,Paneer Tikka Sandwich,31
05-01-2023,Sandwiches,Grilled Veg Sandwich,7
05-01-2023,Sandwiches,Cucumber Sandwich,36
05-01-2023,Wraps,Veggie Wrap,5
05-01-2023,Wraps,Paneer Wrap,46
05-01-2023,Wraps,Aloo Wrap,46
05-01-2023,Wraps,Hummus Wrap,41
05-01-2023,Pastas,Veg Alfredo Pasta,13
05-01-2023,Pastas,Veg Arrabbiata Pasta,47
05-01-2023,Pastas,Pesto Veg Pasta,42
05-01-2023,Pastas,Veg Mac and Cheese,49
05-01-2023,Salads,Greek Salad,11
05-01-2023,Salads,Caesar Salad,48
05-01-2023,Salads,Garden Salad,41
05-01-2023,Salads,Pasta Salad,46
05-01-2023,Fries,Classic Fries,34
05-01-2023,Fries,Cheese Fries,24
05-01-2023,Fries,Masala Fries,20
05-01-2023,Fries,Peri Peri Fries,5
05-01-2023,Beverages,Cold Coffee,10
05-01-2023,Beverages,Lemonade,6
05-01-2023,Beverages,Mango Smoothie,7
05-01-2023,Beverages,Green Tea,33
05-01-2023,Desserts,Brownie,49
05-01-2023,Desserts,Ice Cream Sundae,29
05-01-2023,Desserts,Fruit Salad,49
05-01-2023,Desserts,Chocolate Cake,37
06-01-2023,Veg Burgers,Classic Veg Burger,50
06-01-2023,Veg Burgers,Cheese Veg Burger,9
06-01-2023,Veg Burgers,Spicy Veg Burger,40
06-01-2023,Veg Burgers,Aloo Tikki Burger,34
06-01-2023,Veg Pizzas,Margherita Pizza,12
06-01-2023,Veg Pizzas,Veggie Delight Pizza,31
06-01-2023,Veg Pizzas,Paneer Pizza,7
06-01-2023,Veg Pizzas,Farmhouse Pizza,21
06-01-2023,Sandwiches,Veg Club Sandwich,31
06-01-2023,Sandwiches,Paneer Tikka Sandwich,41
06-01-2023,Sandwiches,Grilled Veg Sandwich,26
06-01-2023,Sandwiches,Cucumber Sandwich,6
06-01-2023,Wraps,Veggie Wrap,12
06-01-2023,Wraps,Paneer Wrap,30
06-01-2023,Wraps,Aloo Wrap,42
06-01-2023,Wraps,Hummus Wrap,46
06-01-2023,Pastas,Veg Alfredo Pasta,10
06-01-2023,Pastas,Veg Arrabbiata Pasta,35
06-01-2023,Pastas,Pesto Veg Pasta,50
06-01-2023,Pastas,Veg Mac and Cheese,35
06-01-2023,Salads,Greek Salad,40
06-01-2023,Salads,Caesar Salad,27
06-01-2023,Salads,Garden Salad,25
06-01-2023,Salads,Pasta Salad,20
06-01-2023,Fries,Classic Fries,42
06-01-2023,Fries,Cheese Fries,15
06-01-2023,Fries,Masala Fries,32
06-01-2023,Fries,Peri Peri Fries,41
06-01-2023,Beverages,Cold Coffee,25
06-01-2023,Beverages,Lemonade,7
06-01-2023,Beverages,Mango Smoothie,49
06-01-2023,Beverages,Green Tea,29
06-01-2023,Desserts,Brownie,28
06-01-2023,Desserts,Ice Cream Sundae,12
06-01-2023,Desserts,Fruit Salad,29
06-01-2023,Desserts,Chocolate Cake,20
07-01-2023,Veg Burgers,Classic Veg Burger,45
07-01-2023,Veg Burgers,Cheese Veg Burger,35
07-01-2023,Veg Burgers,Spicy Veg Burger,7
07-01-2023,Veg Burgers,Aloo Tikki Burger,36
07-01-2023,Veg Pizzas,Margherita Pizza,46
07-01-2023,Veg Pizzas,Veggie Delight Pizza,16
07-01-2023,Veg Pizzas,Paneer Pizza,7
07-01-2023,Veg Pizzas,Farmhouse Pizza,19
07-01-2023,Sandwiches,Veg Club Sandwich,19
07-01-2023,Sandwiches,Paneer Tikka Sandwich,34
07-01-2023,Sandwiches,Grilled Veg Sandwich,14
07-01-2023,Sandwiches,Cucumber Sandwich,29
07-01-2023,Wraps,Veggie Wrap,40
07-01-2023,Wraps,Paneer Wrap,28
07-01-2023,Wraps,Aloo Wrap,29
07-01-2023,Wraps,Hummus Wrap,34
07-01-2023,Pastas,Veg Alfredo Pasta,46
07-01-2023,Pastas,Veg Arrabbiata Pasta,46
07-01-2023,Pastas,Pesto Veg Pasta,26
07-01-2023,Pastas,Veg Mac and Cheese,31
07-01-2023,Salads,Greek Salad,37
07-01-2023,Salads,Caesar Salad,40
07-01-2023,Salads,Garden Salad,22
07-01-2023,Salads,Pasta Salad,31
07-01-2023,Fries,Classic Fries,29
07-01-2023,Fries,Cheese Fries,20
07-01-2023,Fries,Masala Fries,29
07-01-2023,Fries,Peri Peri Fries,47
07-01-2023,Beverages,Cold Coffee,20
07-01-2023,Beverages,Lemonade,26
07-01-2023,Beverages,Mango Smoothie,19
07-01-2023,Beverages,Green Tea,11
07-01-2023,Desserts,Brownie,12
07-01-2023,Desserts,Ice Cream Sundae,18
07-01-2023,Desserts,Fruit Salad,40
07-01-2023,Desserts,Chocolate Cake,24
08-01-2023,Veg Burgers,Classic Veg Burger,47
08-01-2023,Veg Burgers,Cheese Veg Burger,40
08-01-2023,Veg Burgers,Spicy Veg Burger,33
08-01-2023,Veg Burgers,Aloo Tikki Burger,50
08-01-2023,Veg Pizzas,Margherita Pizza,7
08-01-2023,Veg Pizzas,Veggie Delight Pizza,26
08-01-2023,Veg Pizzas,Paneer Pizza,38
08-01-2023,Veg Pizzas,Farmhouse Pizza,14
08-01-2023,Sandwiches,Veg Club Sandwich,31
08-01-2023,Sandwiches,Paneer Tikka Sandwich,14
08-01-2023,Sandwiches,Grilled Veg Sandwich,10
08-01-2023,Sandwiches,Cucumber Sandwich,20
08-01-2023,Wraps,Veggie Wrap,17
08-01-2023,Wraps,Paneer Wrap,46
08-01-2023,Wraps,Aloo Wrap,20
08-01-2023,Wraps,Hummus Wrap,47
08-01-2023,Pastas,Veg Alfredo Pasta,20
08-01-2023,Pastas,Veg Arrabbiata Pasta,24
08-01-2023,Pastas,Pesto Veg Pasta,22
08-01-2023,Pastas,Veg Mac and Cheese,12
08-01-2023,Salads,Greek Salad,11
08-01-2023,Salads,Caesar Salad,38
08-01-2023,Salads,Garden Salad,7
08-01-2023,Salads,Pasta Salad,44
08-01-2023,Fries,Classic Fries,29
08-01-2023,Fries,Cheese Fries,26
08-01-2023,Fries,Masala Fries,30
08-01-2023,Fries,Peri Peri Fries,33
08-01-2023,Beverages,Cold Coffee,35
08-01-2023,Beverages,Lemonade,24
08-01-2023,Beverages,Mango Smoothie,20
08-01-2023,Beverages,Green Tea,19
08-01-2023,Desserts,Brownie,5
08-01-2023,Desserts,Ice Cream Sundae,10
08-01-2023,Desserts,Fruit Salad,29
08-01-2023,Desserts,Chocolate Cake,26
09-01-2023,Veg Burgers,Classic Veg Burger,44
09-01-2023,Veg Burgers,Cheese Veg Burger,38
09-01-2023,Veg Burgers,Spicy Veg Burger,19
09-01-2023,Veg Burgers,Aloo Tikki Burger,9
09-01-2023,Veg Pizzas,Margherita Pizza,38
09-01-2023,Veg Pizzas,Veggie Delight Pizza,12
09-01-2023,Veg Pizzas,Paneer Pizza,39
09-01-2023,Veg Pizzas,Farmhouse Pizza,18
09-01-2023,Sandwiches,Veg Club Sandwich,33
09-01-2023,Sandwiches,Paneer Tikka Sandwich,32
09-01-2023,Sandwiches,Grilled Veg Sandwich,34
09-01-2023,Sandwiches,Cucumber Sandwich,39
09-01-2023,Wraps,Veggie Wrap,46
09-01-2023,Wraps,Paneer Wrap,16
09-01-2023,Wraps,Aloo Wrap,50
09-01-2023,Wraps,Hummus Wrap,15
09-01-2023,Pastas,Veg Alfredo Pasta,10
09-01-2023,Pastas,Veg Arrabbiata Pasta,25
09-01-2023,Pastas,Pesto Veg Pasta,21
09-01-2023,Pastas,Veg Mac and Cheese,25
09-01-2023,Salads,Greek Salad,37
09-01-2023,Salads,Caesar Salad,11
09-01-2023,Salads,Garden Salad,50
09-01-2023,Salads,Pasta Salad,37
09-01-2023,Fries,Classic Fries,9
09-01-2023,Fries,Cheese Fries,27
09-01-2023,Fries,Masala Fries,32
09-01-2023,Fries,Peri Peri Fries,26
09-01-2023,Beverages,Cold Coffee,47
09-01-2023,Beverages,Lemonade,39
09-01-2023,Beverages,Mango Smoothie,18
09-01-2023,Beverages,Green Tea,10
09-01-2023,Desserts,Brownie,34
09-01-2023,Desserts,Ice Cream Sundae,32
09-01-2023,Desserts,Fruit Salad,29
09-01-2023,Desserts,Chocolate Cake,30
10-01-2023,Veg Burgers,Classic Veg Burger,7
10-01-2023,Veg Burgers,Cheese Veg Burger,36
10-01-2023,Veg Burgers,Spicy Veg Burger,48
10-01-2023,Veg Burgers,Aloo Tikki Burger,23
10-01-2023,Veg Pizzas,Margherita Pizza,36
10-01-2023,Veg Pizzas,Veggie Delight Pizza,44
10-01-2023,Veg Pizzas,Paneer Pizza,24
10-01-2023,Veg Pizzas,Farmhouse Pizza,27
10-01-2023,Sandwiches,Veg Club Sandwich,35
10-01-2023,Sandwiches,Paneer Tikka Sandwich,6
10-01-2023,Sandwiches,Grilled Veg Sandwich,18
10-01-2023,Sandwiches,Cucumber Sandwich,36
10-01-2023,Wraps,Veggie Wrap,36
10-01-2023,Wraps,Paneer Wrap,25
10-01-2023,Wraps,Aloo Wrap,8
10-01-2023,Wraps,Hummus Wrap,6
10-01-2023,Pastas,Veg Alfredo Pasta,43
10-01-2023,Pastas,Veg Arrabbiata Pasta,27
10-01-2023,Pastas,Pesto Veg Pasta,18
10-01-2023,Pastas,Veg Mac and Cheese,5
10-01-2023,Salads,Greek Salad,11
10-01-2023,Salads,Caesar Salad,27
10-01-2023,Salads,Garden Salad,36
10-01-2023,Salads,Pasta Salad,32
10-01-2023,Fries,Classic Fries,49
10-01-2023,Fries,Cheese Fries,16
10-01-2023,Fries,Masala Fries,16
10-01-2023,Fries,Peri Peri Fries,25
10-01-2023,Beverages,Cold Coffee,23
10-01-2023,Beverages,Lemonade,18
10-01-2023,Beverages,Mango Smoothie,50
10-01-2023,Beverages,Green Tea,7
10-01-2023,Desserts,Brownie,29
10-01-2023,Desserts,Ice Cream Sundae,27
10-01-2023,Desserts,Fruit Salad,18
10-01-2023,Desserts,Chocolate Cake,28
11-01-2023,Veg Burgers,Classic Veg Burger,49
11-01-2023,Veg Burgers,Cheese Veg Burger,6
11-01-2023,Veg Burgers,Spicy Veg Burger,24
11-01-2023,Veg Burgers,Aloo Tikki Burger,22
11-01-2023,Veg Pizzas,Margherita Pizza,43
11-01-2023,Veg Pizzas,Veggie Delight Pizza,44
11-01-2023,Veg Pizzas,Paneer Pizza,35
11-01-2023,Veg Pizzas,Farmhouse Pizza,48
11-01-2023,Sandwiches,Veg Club Sandwich,50
11-01-2023,Sandwiches,Paneer Tikka Sandwich,15
11-01-2023,Sandwiches,Grilled Veg Sandwich,24
11-01-2023,Sandwiches,Cucumber Sandwich,34
11-01-2023,Wraps,Veggie Wrap,45
11-01-2023,Wraps,Paneer Wrap,16
11-01-2023,Wraps,Aloo Wrap,35
11-01-2023,Wraps,Hummus Wrap,25
11-01-2023,Pastas,Veg Alfredo Pasta,50
11-01-2023,Pastas,Veg Arrabbiata Pasta,20
11-01-2023,Pastas,Pesto Veg Pasta,32
11-01-2023,Pastas,Veg Mac and Cheese,24
11-01-2023,Salads,Greek Salad,20
11-01-2023,Salads,Caesar Salad,35
11-01-2023,Salads,Garden Salad,14
11-01-2023,Salads,Pasta Salad,35
11-01-2023,Fries,Classic Fries,36
11-01-2023,Fries,Cheese Fries,40
11-01-2023,Fries,Masala Fries,8
11-01-2023,Fries,Peri Peri Fries,50
11-01-2023,Beverages,Cold Coffee,25
11-01-2023,Beverages,Lemonade,38
11-01-2023,Beverages,Mango Smoothie,13
11-01-2023,Beverages,Green Tea,35
11-01-2023,Desserts,Brownie,43
11-01-2023,Desserts,Ice Cream Sundae,11
11-01-2023,Desserts,Fruit Salad,38
11-01-2023,Desserts,Chocolate Cake,15
12-01-2023,Veg Burgers,Classic Veg Burger,34
12-01-2023,Veg Burgers,Cheese Veg Burger,13
12-01-2023,Veg Burgers,Spicy Veg Burger,37
12-01-2023,Veg Burgers,Aloo Tikki Burger,46
12-01-2023,Veg Pizzas,Margherita Pizza,7
12-01-2023,Veg Pizzas,Veggie Delight Pizza,11
12-01-2023,Veg Pizzas,Paneer Pizza,16
12-01-2023,Veg Pizzas,Farmhouse Pizza,32
12-01-2023,Sandwiches,Veg Club Sandwich,21
12-01-2023,Sandwiches,Paneer Tikka Sandwich,9
12-01-2023,Sandwiches,Grilled Veg Sandwich,32
12-01-2023,Sandwiches,Cucumber Sandwich,29
12-01-2023,Wraps,Veggie Wrap,32
12-01-2023,Wraps,Paneer Wrap,49
12-01-2023,Wraps,Aloo Wrap,15
12-01-2023,Wraps,Hummus Wrap,36
12-01-2023,Pastas,Veg Alfredo Pasta,11
12-01-2023,Pastas,Veg Arrabbiata Pasta,32
12-01-2023,Pastas,Pesto Veg Pasta,19
12-01-2023,Pastas,Veg Mac and Cheese,21
12-01-2023,Salads,Greek Salad,14
12-01-2023,Salads,Caesar Salad,43
12-01-2023,Salads,Garden Salad,8
12-01-2023,Salads,Pasta Salad,12
12-01-2023,Fries,Classic Fries,50
12-01-2023,Fries,Cheese Fries,13
12-01-2023,Fries,Masala Fries,13
12-01-2023,Fries,Peri Peri Fries,6
12-01-2023,Beverages,Cold Coffee,15
12-01-2023,Beverages,Lemonade,44
12-01-2023,Beverages,Mango Smoothie,46
12-01-2023,Beverages,Green Tea,17
12-01-2023,Desserts,Brownie,16
12-01-2023,Desserts,Ice Cream Sundae,45
12-01-2023,Desserts,Fruit Salad,10
12-01-2023,Desserts,Chocolate Cake,38
13-01-2023,Veg Burgers,Classic Veg Burger,45
13-01-2023,Veg Burgers,Cheese Veg Burger,9
13-01-2023,Veg Burgers,Spicy Veg Burger,48
13-01-2023,Veg Burgers,Aloo Tikki Burger,48
13-01-2023,Veg Pizzas,Margherita Pizza,16
13-01-2023,Veg Pizzas,Veggie Delight Pizza,37
13-01-2023,Veg Pizzas,Paneer Pizza,15
13-01-2023,Veg Pizzas,Farmhouse Pizza,18
13-01-2023,Sandwiches,Veg Club Sandwich,11
13-01-2023,Sandwiches,Paneer Tikka Sandwich,50
13-01-2023,Sandwiches,Grilled Veg Sandwich,17
13-01-2023,Sandwiches,Cucumber Sandwich,20
13-01-2023,Wraps,Veggie Wrap,15
13-01-2023,Wraps,Paneer Wrap,45
13-01-2023,Wraps,Aloo Wrap,44
13-01-2023,Wraps,Hummus Wrap,21
13-01-2023,Pastas,Veg Alfredo Pasta,26
13-01-2023,Pastas,Veg Arrabbiata Pasta,36
13-01-2023,Pastas,Pesto Veg Pasta,43
13-01-2023,Pastas,Veg Mac and Cheese,20
13-01-2023,Salads,Greek Salad,43
13-01-2023,Salads,Caesar Salad,39
13-01-2023,Salads,Garden Salad,47
13-01-2023,Salads,Pasta Salad,43
13-01-2023,Fries,Classic Fries,40
13-01-2023,Fries,Cheese Fries,22
13-01-2023,Fries,Masala Fries,14
13-01-2023,Fries,Peri Peri Fries,29
13-01-2023,Beverages,Cold Coffee,13
13-01-2023,Beverages,Lemonade,22
13-01-2023,Beverages,Mango Smoothie,35
13-01-2023,Beverages,Green Tea,44
13-01-2023,Desserts,Brownie,40
13-01-2023,Desserts,Ice Cream Sundae,18
13-01-2023,Desserts,Fruit Salad,49
13-01-2023,Desserts,Chocolate Cake,12
14-01-2023,Veg Burgers,Classic Veg Burger,17
14-01-2023,Veg Burgers,Cheese Veg Burger,43
14-01-2023,Veg Burgers,Spicy Veg Burger,48
14-01-2023,Veg Burgers,Aloo Tikki Burger,41
14-01-2023,Veg Pizzas,Margherita Pizza,46
14-01-2023,Veg Pizzas,Veggie Delight Pizza,29
14-01-2023,Veg Pizzas,Paneer Pizza,27
14-01-2023,Veg Pizzas,Farmhouse Pizza,38
14-01-2023,Sandwiches,Veg Club Sandwich,20
14-01-2023,Sandwiches,Paneer Tikka Sandwich,30
14-01-2023,Sandwiches,Grilled Veg Sandwich,8
14-01-2023,Sandwiches,Cucumber Sandwich,25
14-01-2023,Wraps,Veggie Wrap,25
14-01-2023,Wraps,Paneer Wrap,9
14-01-2023,Wraps,Aloo Wrap,27
14-01-2023,Wraps,Hummus Wrap,27
14-01-2023,Pastas,Veg Alfredo Pasta,19
14-01-2023,Pastas,Veg Arrabbiata Pasta,34
14-01-2023,Pastas,Pesto Veg Pasta,10
14-01-2023,Pastas,Veg Mac and Cheese,34
14-01-2023,Salads,Greek Salad,41
14-01-2023,Salads,Caesar Salad,40
14-01-2023,Salads,Garden Salad,46
14-01-2023,Salads,Pasta Salad,17
14-01-2023,Fries,Classic Fries,8
14-01-2023,Fries,Cheese Fries,19
14-01-2023,Fries,Masala Fries,28
14-01-2023,Fries,Peri Peri Fries,19
14-01-2023,Beverages,Cold Coffee,44
14-01-2023,Beverages,Lemonade,21
14-01-2023,Beverages,Mango Smoothie,40
14-01-2023,Beverages,Green Tea,16
14-01-2023,Desserts,Brownie,27
14-01-2023,Desserts,Ice Cream Sundae,22
14-01-2023,Desserts,Fruit Salad,13
14-01-2023,Desserts,Chocolate Cake,32
15-01-2023,Veg Burgers,Classic Veg Burger,12
15-01-2023,Veg Burgers,Cheese Veg Burger,16
15-01-2023,Veg Burgers,Spicy Veg Burger,14
15-01-2023,Veg Burgers,Aloo Tikki Burger,28
15-01-2023,Veg Pizzas,Margherita Pizza,38
15-01-2023,Veg Pizzas,Veggie Delight Pizza,44
15-01-2023,Veg Pizzas,Paneer Pizza,13
15-01-2023,Veg Pizzas,Farmhouse Pizza,7
15-01-2023,Sandwiches,Veg Club Sandwich,20
15-01-2023,Sandwiches,Paneer Tikka Sandwich,11
15-01-2023,Sandwiches,Grilled Veg Sandwich,50
15-01-2023,Sandwiches,Cucumber Sandwich,45
15-01-2023,Wraps,Veggie Wrap,38
15-01-2023,Wraps,Paneer Wrap,27
15-01-2023,Wraps,Aloo Wrap,31
15-01-2023,Wraps,Hummus Wrap,8
15-01-2023,Pastas,Veg Alfredo Pasta,37
15-01-2023,Pastas,Veg Arrabbiata Pasta,12
15-01-2023,Pastas,Pesto Veg Pasta,40
15-01-2023,Pastas,Veg Mac and Cheese,50
15-01-2023,Salads,Greek Salad,50
15-01-2023,Salads,Caesar Salad,37
15-01-2023,Salads,Garden Salad,13
15-01-2023,Salads,Pasta Salad,23
15-01-2023,Fries,Classic Fries,20
15-01-2023,Fries,Cheese Fries,20
15-01-2023,Fries,Masala Fries,7
15-01-2023,Fries,Peri Peri Fries,47
15-01-2023,Beverages,Cold Coffee,21
15-01-2023,Beverages,Lemonade,14
15-01-2023,Beverages,Mango Smoothie,47
15-01-2023,Beverages,Green Tea,37
15-01-2023,Desserts,Brownie,26
15-01-2023,Desserts,Ice Cream Sundae,33
15-01-2023,Desserts,Fruit Salad,39
15-01-2023,Desserts,Chocolate Cake,15
16-01-2023,Veg Burgers,Classic Veg Burger,46
16-01-2023,Veg Burgers,Cheese Veg Burger,29
16-01-2023,Veg Burgers,Spicy Veg Burger,30
16-01-2023,Veg Burgers,Aloo Tikki Burger,22
16-01-2023,Veg Pizzas,Margherita Pizza,47
16-01-2023,Veg Pizzas,Veggie Delight Pizza,21
16-01-2023,Veg Pizzas,Paneer Pizza,41
16-01-2023,Veg Pizzas,Farmhouse Pizza,30
16-01-2023,Sandwiches,Veg Club Sandwich,8
16-01-2023,Sandwiches,Paneer Tikka Sandwich,22
16-01-2023,Sandwiches,Grilled Veg Sandwich,37
16-01-2023,Sandwiches,Cucumber Sandwich,49
16-01-2023,Wraps,Veggie Wrap,24
16-01-2023,Wraps,Paneer Wrap,5
16-01-2023,Wraps,Aloo Wrap,10
16-01-2023,Wraps,Hummus Wrap,10
16-01-2023,Pastas,Veg Alfredo Pasta,48
16-01-2023,Pastas,Veg Arrabbiata Pasta,50
16-01-2023,Pastas,Pesto Veg Pasta,36
16-01-2023,Pastas,Veg Mac and Cheese,40
16-01-2023,Salads,Greek Salad,17
16-01-2023,Salads,Caesar Salad,45
16-01-2023,Salads,Garden Salad,48
16-01-2023,Salads,Pasta Salad,15
16-01-2023,Fries,Classic Fries,33
16-01-2023,Fries,Cheese Fries,6
16-01-2023,Fries,Masala Fries,35
16-01-2023,Fries,Peri Peri Fries,23
16-01-2023,Beverages,Cold Coffee,24
16-01-2023,Beverages,Lemonade,25
16-01-2023,Beverages,Mango Smoothie,17
16-01-2023,Beverages,Green Tea,23
